case_dir,case_id,dataset,organ,selected_slice,selection_metric,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
case000,0.0,BTCV,liver,single_sagittal_01,dice,0.0781732706514439,0.0406765445904389,0.0781732706514439,0.0329423166770265,0.3860589265823364,0.3368302583694458,20.44504737854004,6.613572597503662,0.4956556880177813
case001,1.0,BTCV,liver,single_sagittal_03,dice,0.0383442265795207,0.0195468680586406,0.0383442265795207,0.0172815042150358,0.4999711513519287,0.4531007707118988,22.405357360839844,10.459146499633787,0.734142305570877
case002,2.0,BTCV,liver,single_axial_01,dice,0.0613769134067884,0.031660054928288,0.0613769134067884,0.0276273758043136,0.4429953694343567,0.4083061814308166,21.587032318115234,8.480087280273438,0.513956043956044
case003,3.0,BTCV,liver,single_axial_03,dice,0.0945590994371482,0.0496258369436786,0.0945590994371482,0.0366574263203968,0.3140171468257904,0.2695182561874389,15.0,5.309277534484863,0.4834977238239757
case004,4.0,BTCV,liver,single_sagittal_02,dice,0.0876623376623376,0.0458404074702886,0.0876623376623376,0.0438633925248691,0.2816801369190216,0.2550295293331146,13.601470947265623,6.11515998840332,0.752826050278387
case005,case005,BTCV,liver,single_sagittal_02,dice,0.0719838756118629,0.0373357228195937,0.0719838756118629,0.0340421498455677,0.4797391295433044,0.4572041630744934,20.39607810974121,9.10304832458496,0.6716389366991776
case006,case006,BTCV,liver,single_axial_03,dice,0.0596026490066225,0.030716723549488,0.0596026490066225,0.0234505078238888,0.516448974609375,0.466141402721405,22.649503707885746,9.783449172973633,0.662324127149557
case007,case007,BTCV,liver,single_axial_03,dice,0.0944156591824985,0.0495468277945619,0.0944156591824985,0.0536428665003155,0.2430215775966644,0.2122412472963333,13.0,4.388840198516846,0.4918602127197742
case008,case008,BTCV,liver,single_sagittal_03,dice,0.0937849659241175,0.0491995731056563,0.0937849659241175,0.0394213269822135,0.3915466070175171,0.3816077709197998,19.209373474121094,7.354515552520752,0.6219512195121951
case009,case009,BTCV,liver,single_axial_01,dice,0.0735687764441758,0.0381891528462572,0.0735687764441758,0.023830694275274,0.4382942318916321,0.3751063048839569,19.0,6.9257426261901855,0.2608499774740952
